Date,Price,Open,High,Low,Vol.,Change %
12/14/2022,103.1,103.85,103.85,103.2,0.00K,-0.58%
12/13/2022,103.7,103.35,103.75,103.35,0.00K,0.10%
2022/12/12,103.6,103.35,103.9,102.86,0.00K,0.88%
2022/08/12,102.7,103.1,103.625,102.725,0.01K,-0.63%
2022/07/12,103.35,103.25,103.7,102.665,0.01K,0.24%
2022/06/12,103.1,103.15,103.55,103.05,0.01K,0.19%
2022/05/12,102.9,103,103.5,102.4,0.01K,0.68%
2022/02/12,102.2,102.4,102.4,102.4,,-0.10%
2022/01/12,102.3,101.7,102.6,101.45,0.01K,0.79%
11/30/2022,101.5,101.45,101.8,101.45,0.01K,0.10%
11/29/2022,101.4,101.45,105.55,101.45,0.01K,-3.43%
11/28/2022,105,101.8,105.65,101.64,0.01K,3.24%
11/25/2022,101.7,102.1,102.1,102.1,,-0.10%
11/24/2022,101.8,102.4,102.4,101.85,0.00K,0.20%
11/23/2022,101.6,103.4,103.4,101.83,0.01K,-0.59%
11/22/2022,102.2,103.4,103.4,102.335,0.00K,-0.58%
11/21/2022,102.8,103.4,103.575,102.94,0.00K,0.19%
11/18/2022,102.6,103.05,103.05,103.05,,-0.10%
11/17/2022,102.7,103.6,103.6,102.875,0.01K,0.10%
11/16/2022,102.6,102.55,103,102.55,0.00K,0.20%
11/15/2022,102.4,102.55,102.75,102.5,0.00K,0.29%
11/14/2022,102.1,101.7,102.67,101.7,0.01K,0.39%
2022/11/11,101.7,102.15,102.15,102.15,,-0.10%
2022/10/11,101.8,101.65,102.26,101.65,0.01K,-2.86%
2022/09/11,104.8,101.65,105.7,101.65,0.01K,3.42%
2022/08/11,101.33,101.85,101.85,101.38,0.01K,-0.36%
2022/07/11,101.7,102.2,102.375,101.8,0.00K,-0.93%
2022/04/11,102.65,102.65,102.65,102.65,,-0.05%
2022/03/11,102.7,101.95,102.8,101.9,0.00K,0.98%
2022/02/11,101.7,101.11,102.1,101.07,0.01K,0.89%
2022/01/11,100.8,101.45,101.9,100.905,0.01K,0.00%
10/31/2022,100.8,101.45,101.6,100.905,0.01K,-0.30%
10/28/2022,101.1,101.65,101.65,101.2,0.00K,-0.16%
10/27/2022,101.26,101.45,101.47,101.31,0.00K,-0.14%
10/26/2022,101.4,101.45,101.66,101.45,0.01K,-3.61%
10/25/2022,105.2,101.45,105.7,101.45,0.01K,3.65%
10/24/2022,101.5,100.95,101.78,100.95,0.00K,0.30%
10/20/2022,101.2,101.5,105.94,101.3,0.01K,-4.37%
10/19/2022,105.82,101.7,105.82,101.5,0.00K,0.02%
10/18/2022,105.8,102.925,105.85,101.73,0.01K,3.32%
10/17/2022,102.4,105.95,105.95,102.575,0.01K,0.49%
10/14/2022,101.9,102.75,102.75,102.65,0.00K,-0.10%
10/13/2022,102,105.6,105.6,102.065,0.01K,0.49%
2022/12/10,101.5,105.75,105.75,101.61,0.01K,-0.10%
2022/11/10,101.6,105,105,101.64,0.01K,0.34%
2022/10/10,101.26,102.3,105.25,100.68,0.00K,-1.59%
2022/06/10,102.9,101.01,103.575,101.01,0.01K,1.28%
2022/04/10,101.6,101.71,103.045,101.01,0.01K,0.10%
2022/03/10,101.5,101.7,102.08,101.25,0.01K,0.40%
09/30/2022,101.1,101.25,101.25,101.25,,-0.10%
09/29/2022,101.2,101.23,101.3,101.23,0.00K,-1.08%
09/28/2022,102.3,102.525,103.1,102.425,0.01K,1.47%
09/27/2022,100.82,102.43,102.43,100.87,,-1.73%
09/26/2022,102.6,100.87,103.15,100.87,0.00K,0.00%
09/23/2022,102.6,103.1,103.2,103.05,0.00K,-0.10%
09/22/2022,102.7,102.925,103.2,102.825,0.01K,-0.48%
09/21/2022,103.2,103.55,103.7,103.4,0.01K,-0.10%
09/20/2022,103.3,103.55,103.7,103.45,0.00K,-0.48%
09/19/2022,103.8,103.5,104.4,103.5,0.01K,0.00%
09/16/2022,103.8,104.4,104.4,104.4,,-0.10%
09/15/2022,103.9,104.5,104.5,103.05,0.01K,-0.05%
09/14/2022,103.95,102.43,104,102.43,0.01K,1.51%
2022/12/09,94.91,95.025,95.055,94.98,0.00K,0.00%
2022/09/09,94.91,95.395,95.43,95.395,0.00K,-0.09%
2022/08/09,95,95.025,95.025,95.025,,0.00%
2022/07/09,95,95.025,95.025,95.025,,0.09%
2022/06/09,94.91,95.025,95.055,94.98,0.01K,0.00%
2022/05/09,94.91,95.025,95.135,94.98,0.01K,0.09%
2022/02/09,94.82,95.11,95.11,95.11,,-0.09%
2022/01/09,94.91,95.025,95.055,94.98,0.00K,0.00%
08/31/2022,94.91,95.025,95.135,94.98,0.00K,-0.09%
08/30/2022,95,95.025,95.025,95.025,,0.09%
08/29/2022,94.91,95.025,95.27,94.89,0.01K,0.19%
08/26/2022,94.73,95.01,95.265,94.92,0.00K,-0.19%
08/25/2022,94.91,95.025,95.055,94.98,0.01K,0.00%
08/24/2022,94.91,95.025,95.055,94.98,0.01K,0.02%
08/23/2022,94.89,95.025,95.06,94.97,0.01K,-0.02%
08/22/2022,94.91,95.025,95.42,94.98,0.01K,-0.03%
08/19/2022,94.94,95.365,95.365,95.365,,0.03%
08/18/2022,94.91,95.01,95.01,95.01,,0.00%
08/17/2022,94.91,94.985,95.055,94.965,0.01K,0.00%
08/16/2022,94.91,95.025,95.03,94.98,0.01K,0.09%
08/15/2022,94.82,95.01,95.235,94.965,0.00K,-0.09%
2022/11/08,94.91,94.975,95.095,94.93,0.01K,-0.04%
2022/10/08,94.95,94.7,95.07,94.7,0.01K,0.36%
2022/09/08,94.61,94.965,95.05,94.865,0.00K,-0.10%
2022/08/08,94.7,94.7,94.725,94.7,0.01K,0.28%
2022/05/08,94.44,94.965,94.965,94.965,,-0.10%
2022/04/08,94.53,94.725,94.76,94.64,0.01K,-0.18%
2022/03/08,94.7,94.71,94.755,94.68,0.01K,0.00%
2022/02/08,94.7,94.7,94.725,94.7,0.01K,0.10%
2022/01/08,94.61,94.7,95.01,94.595,0.01K,0.18%
07/29/2022,94.44,94.88,94.88,94.88,,-0.10%
07/28/2022,94.53,94.725,94.76,94.64,0.01K,-0.08%
07/27/2022,94.61,94.7,94.83,94.68,0.01K,-0.10%
07/26/2022,94.7,94.45,94.755,94.45,0.01K,0.51%
07/25/2022,94.22,94.475,94.65,94.36,0.01K,-0.10%
07/22/2022,94.31,94.575,94.575,94.575,,-0.10%
07/21/2022,94.4,93.95,94.45,93.95,0.01K,0.48%
07/20/2022,93.95,93.975,93.975,93.95,0.00K,0.00%
07/19/2022,93.95,93.95,93.975,93.95,0.01K,0.34%
07/18/2022,93.63,93.975,94.08,93.5,0.01K,-0.29%
07/14/2022,93.9,93.975,93.975,93.95,0.00K,0.10%
07/13/2022,93.81,93.45,94.035,93.45,0.01K,0.44%
2022/12/07,93.4,93.475,93.475,93.45,0.01K,0.43%
2022/11/07,93,93.515,93.68,93.425,0.00K,-0.19%
2022/08/07,93.18,93.415,93.58,93.35,0.00K,-0.19%
2022/07/07,93.36,93.45,93.485,93.405,0.01K,0.05%
2022/06/07,93.31,93.45,93.485,93.405,0.01K,-0.05%
2022/05/07,93.36,93.475,93.48,93.43,0.01K,-0.04%
2022/04/07,93.4,93.475,93.475,93.45,0.01K,-0.05%
06/30/2022,93.45,93.475,93.475,93.45,0.00K,0.05%
06/29/2022,93.4,93.475,93.475,93.45,0.00K,0.10%
06/28/2022,93.31,92.95,93.455,92.86,0.01K,0.64%
06/27/2022,92.72,92.975,93.065,92.815,0.01K,0.10%
06/23/2022,92.63,92.975,92.99,92.815,0.01K,-0.25%
06/22/2022,92.86,92.95,92.985,92.86,0.01K,0.15%
06/21/2022,92.72,92.9,92.96,92.86,0.01K,-0.19%
06/20/2022,92.9,92.925,92.95,92.925,0.01K,0.10%
06/17/2022,92.81,92.915,92.915,92.915,,-0.10%
06/16/2022,92.9,92.95,92.95,92.9,0.00K,0.10%
06/15/2022,92.81,92.9,92.955,92.9,0.01K,-0.92%
06/14/2022,93.67,92.95,93.915,92.75,0.01K,-0.10%
06/13/2022,93.76,92.95,93.91,92.95,0.01K,1.02%
2022/09/06,92.81,92.95,93.03,92.905,0.01K,-0.10%
2022/08/06,92.9,92.5,92.975,92.3,0.01K,1.03%
2022/07/06,91.95,92.55,92.95,92.275,0.01K,0.79%
2022/06/06,91.23,91.55,91.94,91.415,0.01K,2.71%
2022/03/06,88.82,89.325,89.325,89.325,,-0.10%
2022/02/06,88.91,89.075,89.08,89.03,0.01K,0.00%
2022/01/06,88.91,89.075,89.08,89.03,0.01K,0.00%
05/31/2022,88.91,89.075,89.08,89.03,0.01K,-0.10%
05/30/2022,89,87.95,89.075,87.95,0.01K,1.56%
05/27/2022,87.63,87.935,87.935,87.935,,-0.10%
05/26/2022,87.72,87.95,87.965,87.86,0.01K,-0.10%
05/25/2022,87.81,87.95,87.96,87.905,0.01K,0.10%
05/24/2022,87.72,87.95,87.96,87.86,0.01K,0.00%
05/23/2022,87.72,87.55,87.965,87.55,0.01K,0.67%
05/20/2022,87.14,87.53,87.545,87.485,0.00K,-0.21%
05/19/2022,87.32,87.55,87.56,87.46,0.01K,-0.10%
05/18/2022,87.41,87.55,87.56,87.505,0.01K,0.00%
05/17/2022,87.41,87.55,87.555,87.505,0.01K,0.00%
05/16/2022,87.41,87.55,87.555,87.505,0.01K,0.92%
05/13/2022,86.61,86.93,86.93,86.93,,-0.10%
2022/12/05,86.7,86.695,86.725,86.695,0.01K,0.10%
